threshold,flagged,tp,fp,precision,recall,benefit,cost,net,flag_rate
0.61,97,66,31,0.6804123711340206,0.029743127534925643,33225.3171,3720.0,29505.3171,0.0032333333333333333
0.62,95,65,30,0.6842105263157895,0.02929247408742677,33141.9897,3600.0,29541.9897,0.0031666666666666666
0.63,94,65,29,0.6914893617021277,0.02929247408742677,33141.9897,3480.0,29661.9897,0.0031333333333333335
0.64,23,18,5,0.782608695652174,0.00811176205497972,9028.52865,600.0,8428.52865,0.0007666666666666667
0.65,23,18,5,0.782608695652174,0.00811176205497972,9028.52865,600.0,8428.52865,0.0007666666666666667
0.66,23,18,5,0.782608695652174,0.00811176205497972,9028.52865,600.0,8428.52865,0.0007666666666666667
0.67,23,18,5,0.782608695652174,0.00811176205497972,9028.52865,600.0,8428.52865,0.0007666666666666667
0.68,23,18,5,0.782608695652174,0.00811176205497972,9028.52865,600.0,8428.52865,0.0007666666666666667
0.69,23,18,5,0.782608695652174,0.00811176205497972,9028.52865,600.0,8428.52865,0.0007666666666666667
0.7,23,18,5,0.782608695652174,0.00811176205497972,9028.52865,600.0,8428.52865,0.0007666666666666667
0.71,23,18,5,0.782608695652174,0.00811176205497972,9028.52865,600.0,8428.52865,0.0007666666666666667
0.72,22,17,5,0.7727272727272727,0.0076611086074808476,8917.63155,600.0,8317.63155,0.0007333333333333333
0.73,22,17,5,0.7727272727272727,0.0076611086074808476,8917.63155,600.0,8317.63155,0.0007333333333333333
0.74,22,17,5,0.7727272727272727,0.0076611086074808476,8917.63155,600.0,8317.63155,0.0007333333333333333
0.75,22,17,5,0.7727272727272727,0.0076611086074808476,8917.63155,600.0,8317.63155,0.0007333333333333333
0.76,22,17,5,0.7727272727272727,0.0076611086074808476,8917.63155,600.0,8317.63155,0.0007333333333333333
0.77,22,17,5,0.7727272727272727,0.0076611086074808476,8917.63155,600.0,8317.63155,0.0007333333333333333
0.78,22,17,5,0.7727272727272727,0.0076611086074808476,8917.63155,600.0,8317.63155,0.0007333333333333333
0.79,22,17,5,0.7727272727272727,0.0076611086074808476,8917.63155,600.0,8317.63155,0.0007333333333333333
0.8,22,17,5,0.7727272727272727,0.0076611086074808476,8917.63155,600.0,8317.63155,0.0007333333333333333
0.81,22,17,5,0.7727272727272727,0.0076611086074808476,8917.63155,600.0,8317.63155,0.0007333333333333333
0.82,21,16,5,0.7619047619047619,0.007210455159981974,8737.271550000001,600.0,8137.271550000001,0.0007
0.83,21,16,5,0.7619047619047619,0.007210455159981974,8737.271550000001,600.0,8137.271550000001,0.0007
0.84,21,16,5,0.7619047619047619,0.007210455159981974,8737.271550000001,600.0,8137.271550000001,0.0007
0.85,21,16,5,0.7619047619047619,0.007210455159981974,8737.271550000001,600.0,8137.271550000001,0.0007
0.86,20,15,5,0.75,0.0067598017124831005,8535.2751,600.0,7935.275100000001,0.0006666666666666666
0.87,20,15,5,0.75,0.0067598017124831005,8535.2751,600.0,7935.275100000001,0.0006666666666666666
0.88,19,14,5,0.7368421052631579,0.006309148264984227,7552.6668,600.0,6952.6668,0.0006333333333333333
0.89,19,14,5,0.7368421052631579,0.006309148264984227,7552.6668,600.0,6952.6668,0.0006333333333333333
0.9,19,14,5,0.7368421052631579,0.006309148264984227,7552.6668,600.0,6952.6668,0.0006333333333333333
0.91,19,14,5,0.7368421052631579,0.006309148264984227,7552.6668,600.0,6952.6668,0.0006333333333333333
0.92,19,14,5,0.7368421052631579,0.006309148264984227,7552.6668,600.0,6952.6668,0.0006333333333333333
0.93,19,14,5,0.7368421052631579,0.006309148264984227,7552.6668,600.0,6952.6668,0.0006333333333333333
0.94,19,14,5,0.7368421052631579,0.006309148264984227,7552.6668,600.0,6952.6668,0.0006333333333333333
0.95,19,14,5,0.7368421052631579,0.006309148264984227,7552.6668,600.0,6952.6668,0.0006333333333333333
